income_year,normalized_income_range,income_range_display,sex,taxable_status,age_range_display,individuals_count,total_income_amount,net_tax_amount
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,18 - 24,7.0,13528058.470058467,5780386.791335531
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,25 - 29,13.0,27455970.197636172,11750871.255910922
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,30 - 34,45.0,163705106.45058158,73446133.96634124
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,35 - 39,163.0,391395425.5187091,173789964.9353896
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,40 - 44,286.0,605060033.9492259,263485468.08064264
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,45 - 49,412.0,1013340344.5661421,443864181.5407451
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,50 - 54,375.0,1046840262.3873954,457246026.40765667
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,55 - 59,317.0,901133326.765827,392675295.43350726
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,60 - 64,233.0,976618440.3646353,434328913.77515703
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,65 - 69,192.0,559962802.1773942,247634174.5620668
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,70 - 74,109.0,267937610.10547543,116513824.98737444
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,75 and over,269.0,706794990.669445,302081093.56670326
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,18 - 24,7.0,14617267.921627045,6141233.527183907
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,25 - 29,27.0,39911267.394119956,16904148.84456014
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,30 - 34,164.0,366796186.99238926,158159840.2920174
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,35 - 39,637.0,1234839827.8850455,536453506.7089273
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,40 - 44,1398.0,3026297292.877059,1322778900.1673186
